Samples: 10000, Batch size: 32, Epochs: 500, Noise: 5 %
Learning rate: 0.001, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_2.npy
Target Data: data/new/multiple_dipoles_locations_10000_2.npy
--------------------------------------------------------------
Epoch    0/ 499 | Train: 0.296697 | Test: 0.265938 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([ 0.1971, -0.0252,  0.1680,  0.0430,  0.1219, -0.0588,  0.0855, -0.1193],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([ 0.1964, -0.0343,  0.1711,  0.0391,  0.1322, -0.0668,  0.0859, -0.1168],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([ 0.2122, -0.0321,  0.1806,  0.0484,  0.1283, -0.0696,  0.0847, -0.1159],
       grad_fn=<SelectBackward0>) 

Epoch    1/ 499 | Train: 0.241984 | Test: 0.216538 
Epoch    2/ 499 | Train: 0.196479 | Test: 0.174866 
Epoch    3/ 499 | Train: 0.158038 | Test: 0.139843 
Epoch    4/ 499 | Train: 0.126259 | Test: 0.111567 
Epoch    5/ 499 | Train: 0.101390 | Test: 0.090272 
Epoch    6/ 499 | Train: 0.083407 | Test: 0.075577 
Epoch    7/ 499 | Train: 0.071508 | Test: 0.066301 
Epoch    8/ 499 | Train: 0.064248 | Test: 0.060851 
Epoch    9/ 499 | Train: 0.060072 | Test: 0.057787 
Epoch   10/ 499 | Train: 0.057742 | Test: 0.056094 
Epoch   11/ 499 | Train: 0.056438 | Test: 0.055136 
Epoch   12/ 499 | Train: 0.055675 | Test: 0.054558 
Epoch   13/ 499 | Train: 0.055190 | Test: 0.054175 
Epoch   14/ 499 | Train: 0.054846 | Test: 0.053891 
Epoch   15/ 499 | Train: 0.054576 | Test: 0.053657 
Epoch   16/ 499 | Train: 0.054345 | Test: 0.053452 
Epoch   17/ 499 | Train: 0.054136 | Test: 0.053264 
Epoch   18/ 499 | Train: 0.053940 | Test: 0.053083 
Epoch   19/ 499 | Train: 0.053751 | Test: 0.052909 
Epoch   20/ 499 | Train: 0.053568 | Test: 0.052739 
Epoch   21/ 499 | Train: 0.053389 | Test: 0.052571 
Epoch   22/ 499 | Train: 0.053213 | Test: 0.052407 
Epoch   23/ 499 | Train: 0.053040 | Test: 0.052244 
Epoch   24/ 499 | Train: 0.052870 | Test: 0.052084 
Epoch   25/ 499 | Train: 0.052701 | Test: 0.051926 
Epoch   26/ 499 | Train: 0.052536 | Test: 0.051769 
Epoch   27/ 499 | Train: 0.052372 | Test: 0.051614 
Epoch   28/ 499 | Train: 0.052210 | Test: 0.051462 
Epoch   29/ 499 | Train: 0.052051 | Test: 0.051310 
Epoch   30/ 499 | Train: 0.051893 | Test: 0.051161 
Epoch   31/ 499 | Train: 0.051737 | Test: 0.051014 
